original_path,target_path,evaluator_type,model_type,seed,checkpoint,status
training_reports/evaluate_baseline_20250529_132210/eval_grpo_4_debug-garbled-chat-template-response.json,training_reports_clean/other_evaluations/eval_unknown_seedunknown_final_gemini_20250529_132237.json,gemini,unknown,unknown,final,success
training_reports/evaluate_baseline_20250529_132210/eval_grpo_5_debug-garbled-chat-template-response.json,training_reports_clean/other_evaluations/eval_unknown_seedunknown_final_gemini_20250529_132305.json,gemini,unknown,unknown,final,success
training_reports/evaluate_baseline_20250613_101737/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,training_reports_clean/gemini_evaluations/baseline/eval_baseline_final_gemini_20250613_101751.json,gemini,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_102046/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_102100.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_102621/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,training_reports_clean/gemini_evaluations/baseline/eval_baseline_final_gemini_20250613_102639.json,gemini,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_102658/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_102711.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_103306/eval_grpo_4_debug-garbled-chat-template-response-gemini-2.0-flash.json,training_reports_clean/gemini_evaluations/baseline/eval_baseline_final_gemini_20250613_103319.json,gemini,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_103405/eval_grpo_4_debug-garbled-chat-template-response-gpt-4o-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_103417.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_104538/eval_grpo_4_debug-garbled-chat-template-response-gpt-4o-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_104553.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_105444/eval_grpo_4_debug-garbled-chat-template-response-claude-3-5-sonnet.json,training_reports_clean/claude_evaluations/baseline/eval_baseline_final_claude_20250613_105458.json,claude,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_105930/eval_grpo_4_debug-garbled-chat-template-response-gemini-2.0-flash.json,training_reports_clean/gemini_evaluations/baseline/eval_baseline_final_gemini_20250613_105944.json,gemini,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_111516/eval_grpo_5_benchmarking_20250510_135534-cleanprep-hashprompt-claude-3-5-sonnet.json,training_reports_clean/claude_evaluations/baseline/eval_baseline_final_claude_20250613_114232.json,claude,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_112146/eval_grpo_5_benchmarking_20250510_135534-cleanprep-hashprompt-gpt-4o-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_112221.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_113122/eval_grpo_5_benchmarking_20250510_135534-cleanprep-hashprompt-o3-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_113250.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_113438/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-o3-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_113554.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_123005/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-gemini-2.0-flash.json,training_reports_clean/gemini_evaluations/baseline/eval_baseline_final_gemini_20250613_123159.json,gemini,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_124603/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-o3-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_124721.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_125438/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-o3-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_125548.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_130121/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-o3-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_130234.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_132838/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-o3-mini.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_133631.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_134305/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-claude-3-5-sonnet.json,training_reports_clean/claude_evaluations/baseline/eval_baseline_final_claude_20250613_140113.json,claude,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_141427/eval_grpo_5_benchmarking_20250510_135534-cleanprep-hashprompt-claude-3-5-sonnet.json,training_reports_clean/claude_evaluations/baseline/eval_baseline_final_claude_20250613_162749.json,claude,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_173827/eval_grpo_5_benchmarking_20250510_135534-cleanprep-hashprompt-gpt-4.1.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_173931.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250613_173955/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt-gpt-4.1.json,training_reports_clean/openai_evaluations/baseline/eval_baseline_final_openai_20250613_174103.json,openai,baseline,baseline,final,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_5_seed_1_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_final_gemini_20250616_125124.json,gemini,grpo5,1,final,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_5_seed_1_checkpoint-2600_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2600_gemini_20250616_130753.json,gemini,grpo5,1,2600,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_6_seed_2_4_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_final_gemini_20250616_131709.json,gemini,grpo6,2,final,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_final_gemini_20250616_134314.json,gemini,grpo7,3,final,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-1000_gemini_20250616_135035.json,gemini,grpo7,3,1000,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-2000_gemini_20250616_135608.json,gemini,grpo7,3,2000,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-3000_gemini_20250616_140052.json,gemini,grpo7,3,3000,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-4000_gemini_20250616_140532.json,gemini,grpo7,3,4000,success
training_reports/evaluate_baseline_20250616_155043/eval_grpo_5_seed_1_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-1000_gemini_20250616_155728.json,gemini,grpo5,1,1000,success
training_reports/evaluate_baseline_20250616_155043/eval_grpo_5_seed_1_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2000_gemini_20250616_160252.json,gemini,grpo5,1,2000,success
training_reports/evaluate_baseline_20250616_155043/eval_grpo_5_seed_1_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-3000_gemini_20250616_160743.json,gemini,grpo5,1,3000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-1000_gemini_20250616_161829.json,gemini,grpo6,2,1000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-2000_gemini_20250616_162331.json,gemini,grpo6,2,2000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-3000_gemini_20250616_162825.json,gemini,grpo6,2,3000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-4000_gemini_20250616_163256.json,gemini,grpo6,2,4000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-1000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-1000_claude_20250616_165027.json,claude,grpo6,2,1000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-2000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-2000_claude_20250616_170511.json,claude,grpo6,2,2000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-3000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-3000_claude_20250616_171941.json,claude,grpo6,2,3000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-4000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-4000_claude_20250616_173252.json,claude,grpo6,2,4000,success
training_reports/grpo5-evals/eval_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-1000_claude_20250616_105642.json,claude,grpo5,1,1000,success
training_reports/grpo5-evals/eval_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2000_claude_20250616_111059.json,claude,grpo5,1,2000,success
training_reports/grpo5-evals/eval_checkpoint-2600_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2600_claude_20250616_112440.json,claude,grpo5,1,2600,success
training_reports/grpo5-evals/eval_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-3000_claude_20250616_113953.json,claude,grpo5,1,3000,success
training_reports/grpo5-evals/eval_grpo_5_seed_1_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_final_claude_20250616_104059.json,claude,grpo5,1,final,success
training_reports/grpo6-grpo7-evals/eval_grpo_6_seed_2_4_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_final_claude_20250615_163057.json,claude,grpo6,2,final,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_final_claude_20250615_173752.json,claude,grpo7,3,final,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-1000_claude_20250615_175510.json,claude,grpo7,3,1000,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-2000_claude_20250615_180933.json,claude,grpo7,3,2000,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-3000_claude_20250615_182337.json,claude,grpo7,3,3000,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-4000_claude_20250615_182939.json,claude,grpo7,3,4000,success
training_reports/meta-llama-3.2-1B-baseline-eval/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/baseline/eval_baseline_final_claude_20250615_194913.json,claude,baseline,baseline,final,success
